ID,electricity_consumption
cluster_4_2022-01-14,1435.7612
cluster_1_2022-01-15,483.81403
cluster_2_2022-01-15,722.7999
cluster_3_2022-01-15,937.3442
cluster_4_2022-01-15,1360.5967
cluster_1_2022-01-16,429.69016
cluster_2_2022-01-16,680.475
cluster_3_2022-01-16,918.89923
cluster_4_2022-01-16,1365.25
cluster_1_2022-01-17,494.33438
cluster_2_2022-01-17,768.2089
cluster_3_2022-01-17,919.93036
cluster_4_2022-01-17,1421.4689
cluster_1_2022-01-18,500.62564
cluster_2_2022-01-18,759.0026
cluster_3_2022-01-18,932.0557
cluster_4_2022-01-18,1377.7506
cluster_1_2022-01-19,498.38766
cluster_2_2022-01-19,706.3001
cluster_3_2022-01-19,964.89185
cluster_4_2022-01-19,1426.1132
cluster_1_2022-01-20,485.64783
cluster_2_2022-01-20,702.0295
cluster_3_2022-01-20,962.2413
cluster_4_2022-01-20,1370.1836
cluster_1_2022-01-21,497.01956
cluster_2_2022-01-21,702.9203
cluster_3_2022-01-21,964.7238
cluster_4_2022-01-21,1403.9442
cluster_1_2022-01-22,434.39044
cluster_2_2022-01-22,708.8059
cluster_3_2022-01-22,862.12885
cluster_4_2022-01-22,1280.5665
cluster_1_2022-01-23,425.51224
cluster_2_2022-01-23,656.3528
cluster_3_2022-01-23,829.7264
cluster_4_2022-01-23,1235.4008
cluster_1_2022-01-24,480.9887
cluster_2_2022-01-24,693.08105
cluster_3_2022-01-24,945.7185
cluster_4_2022-01-24,1394.3293
cluster_1_2022-01-25,520.226
cluster_2_2022-01-25,724.7311
cluster_3_2022-01-25,916.90063
cluster_4_2022-01-25,1435.6201
cluster_1_2022-01-26,497.34857
cluster_2_2022-01-26,717.1087
cluster_3_2022-01-26,995.2681
cluster_4_2022-01-26,1456.0784
cluster_1_2022-01-27,477.65616
cluster_2_2022-01-27,697.784
cluster_3_2022-01-27,955.69385
cluster_4_2022-01-27,1425.7098
cluster_1_2022-01-28,449.9084
cluster_2_2022-01-28,695.831
cluster_3_2022-01-28,921.7803
cluster_4_2022-01-28,1411.978
cluster_1_2022-01-29,394.06058
cluster_2_2022-01-29,658.8108
cluster_3_2022-01-29,830.70013
cluster_4_2022-01-29,1279.7982
cluster_1_2022-01-30,382.11264
cluster_2_2022-01-30,626.84753
cluster_3_2022-01-30,804.1862
cluster_4_2022-01-30,1143.0006
cluster_1_2022-01-31,426.41705
cluster_2_2022-01-31,659.9356
cluster_3_2022-01-31,908.3608
cluster_4_2022-01-31,1315.6758
cluster_1_2022-02-01,445.15005
cluster_2_2022-02-01,644.0502
cluster_3_2022-02-01,906.6322
cluster_4_2022-02-01,1298.058
cluster_1_2022-02-02,410.52042
cluster_2_2022-02-02,596.85706
cluster_3_2022-02-02,844.6402
cluster_4_2022-02-02,1250.8386
cluster_1_2022-02-03,429.278
cluster_2_2022-02-03,635.3669
cluster_3_2022-02-03,837.17896
cluster_4_2022-02-03,1291.3403
cluster_1_2022-02-04,443.53622
cluster_2_2022-02-04,628.1376
cluster_3_2022-02-04,842.7909
cluster_4_2022-02-04,1253.7191
cluster_1_2022-02-05,391.83426
cluster_2_2022-02-05,607.0391
cluster_3_2022-02-05,838.65106
cluster_4_2022-02-05,1224.9281
cluster_1_2022-02-06,367.871
cluster_2_2022-02-06,604.01953
cluster_3_2022-02-06,809.0649
cluster_4_2022-02-06,1232.6466
cluster_1_2022-02-07,433.48785
cluster_2_2022-02-07,616.4934
cluster_3_2022-02-07,855.43195
cluster_4_2022-02-07,1293.2639
cluster_1_2022-02-08,418.74673
cluster_2_2022-02-08,664.31665
cluster_3_2022-02-08,897.5097
cluster_4_2022-02-08,1285.842
cluster_1_2022-02-09,429.82053
cluster_2_2022-02-09,662.21924
cluster_3_2022-02-09,862.91785
cluster_4_2022-02-09,1305.7024
cluster_1_2022-02-10,452.8422
cluster_2_2022-02-10,603.97327
cluster_3_2022-02-10,864.87634
cluster_4_2022-02-10,1266.5421
cluster_1_2022-02-11,454.46024
cluster_2_2022-02-11,660.9443
cluster_3_2022-02-11,866.31445
cluster_4_2022-02-11,1313.3552
cluster_1_2022-02-12,416.09164
cluster_2_2022-02-12,626.9409
cluster_3_2022-02-12,840.8418
cluster_4_2022-02-12,1268.1951
cluster_1_2022-02-13,400.85242
cluster_2_2022-02-13,577.6574
cluster_3_2022-02-13,773.3143
cluster_4_2022-02-13,1120.581
cluster_1_2022-02-14,418.78018
cluster_2_2022-02-14,602.9553
cluster_3_2022-02-14,895.91364
cluster_4_2022-02-14,1215.9185
cluster_1_2022-02-15,448.55154
cluster_2_2022-02-15,651.61676
cluster_3_2022-02-15,880.8017
cluster_4_2022-02-15,1263.7296
cluster_1_2022-02-16,405.46976
cluster_2_2022-02-16,600.9319
cluster_3_2022-02-16,851.06305
cluster_4_2022-02-16,1217.931
cluster_1_2022-02-17,396.83716
cluster_2_2022-02-17,579.8954
cluster_3_2022-02-17,753.0468
cluster_4_2022-02-17,1082.3059
cluster_1_2022-02-18,418.61984
cluster_2_2022-02-18,582.08856
cluster_3_2022-02-18,786.6321
cluster_4_2022-02-18,1116.8392
cluster_1_2022-02-19,392.30505
cluster_2_2022-02-19,574.359
cluster_3_2022-02-19,788.654
cluster_4_2022-02-19,1109.798
cluster_1_2022-02-20,351.53976
cluster_2_2022-02-20,542.0471
cluster_3_2022-02-20,728.56903
cluster_4_2022-02-20,1136.1096
cluster_1_2022-02-21,417.59842
cluster_2_2022-02-21,590.0405
cluster_3_2022-02-21,792.5124
cluster_4_2022-02-21,1197.5977
cluster_1_2022-02-22,409.61502
cluster_2_2022-02-22,598.45056
cluster_3_2022-02-22,824.6199
cluster_4_2022-02-22,1203.7897
cluster_1_2022-02-23,445.89435
cluster_2_2022-02-23,607.89294
cluster_3_2022-02-23,798.5986
cluster_4_2022-02-23,1192.2831
cluster_1_2022-02-24,430.33575
cluster_2_2022-02-24,608.4555
cluster_3_2022-02-24,842.961
cluster_4_2022-02-24,1163.0461
cluster_1_2022-02-25,429.6325
cluster_2_2022-02-25,607.4318
cluster_3_2022-02-25,838.4969
cluster_4_2022-02-25,1221.8494
cluster_1_2022-02-26,395.74628
cluster_2_2022-02-26,567.53564
cluster_3_2022-02-26,787.1434
cluster_4_2022-02-26,1156.1661
cluster_1_2022-02-27,375.77704
cluster_2_2022-02-27,555.5181
cluster_3_2022-02-27,740.07477
cluster_4_2022-02-27,1099.0106
cluster_1_2022-02-28,393.8211
cluster_2_2022-02-28,576.8052
cluster_3_2022-02-28,773.71454
cluster_4_2022-02-28,1215.6056
cluster_1_2022-03-01,432.66803
cluster_2_2022-03-01,614.1112
cluster_3_2022-03-01,776.31213
cluster_4_2022-03-01,1217.5763
cluster_1_2022-03-02,418.34232
cluster_2_2022-03-02,583.3587
cluster_3_2022-03-02,873.74963
cluster_4_2022-03-02,1228.4019
cluster_1_2022-03-03,392.766
cluster_2_2022-03-03,574.23724
cluster_3_2022-03-03,905.28705
cluster_4_2022-03-03,1169.7845
cluster_1_2022-03-04,432.75177
cluster_2_2022-03-04,607.129
cluster_3_2022-03-04,866.0937
cluster_4_2022-03-04,1158.4258
cluster_1_2022-03-05,407.10974
cluster_2_2022-03-05,565.2838
cluster_3_2022-03-05,847.16864
cluster_4_2022-03-05,1102.7974
cluster_1_2022-03-06,373.52734
cluster_2_2022-03-06,561.6731
cluster_3_2022-03-06,794.7118
cluster_4_2022-03-06,1141.7606
cluster_1_2022-03-07,435.30276
cluster_2_2022-03-07,603.632
cluster_3_2022-03-07,883.809
cluster_4_2022-03-07,1243.1107
cluster_1_2022-03-08,412.42557
cluster_2_2022-03-08,595.8367
cluster_3_2022-03-08,912.5565
cluster_4_2022-03-08,1192.6459
cluster_1_2022-03-09,411.33972
cluster_2_2022-03-09,577.96924
cluster_3_2022-03-09,804.3481
cluster_4_2022-03-09,1158.8384
cluster_1_2022-03-10,390.2257
cluster_2_2022-03-10,543.8713
cluster_3_2022-03-10,838.7423
cluster_4_2022-03-10,1101.1459
cluster_1_2022-03-11,372.92487
cluster_2_2022-03-11,556.67505
cluster_3_2022-03-11,857.5584
cluster_4_2022-03-11,1131.3262
cluster_1_2022-03-12,335.12082
cluster_2_2022-03-12,496.9485
cluster_3_2022-03-12,724.93787
cluster_4_2022-03-12,1042.4596
cluster_1_2022-03-13,327.64685
cluster_2_2022-03-13,494.0175
cluster_3_2022-03-13,716.2756
cluster_4_2022-03-13,1029.9155
cluster_1_2022-03-14,370.9451
cluster_2_2022-03-14,570.6494
cluster_3_2022-03-14,767.1074
cluster_4_2022-03-14,1139.783
cluster_1_2022-03-15,362.78778
cluster_2_2022-03-15,549.9588
cluster_3_2022-03-15,725.91223
cluster_4_2022-03-15,1041.377
cluster_1_2022-03-16,360.4608
cluster_2_2022-03-16,529.7285
cluster_3_2022-03-16,706.86743
cluster_4_2022-03-16,1008.256
cluster_1_2022-03-17,390.9508
cluster_2_2022-03-17,555.4407
cluster_3_2022-03-17,772.92645
cluster_4_2022-03-17,1088.9001
cluster_1_2022-03-18,373.84842
cluster_2_2022-03-18,555.4415
cluster_3_2022-03-18,762.9991
cluster_4_2022-03-18,1089.748
cluster_1_2022-03-19,332.98395
cluster_2_2022-03-19,490.02225
cluster_3_2022-03-19,669.93585
cluster_4_2022-03-19,975.408
cluster_1_2022-03-20,344.494
cluster_2_2022-03-20,503.40228
cluster_3_2022-03-20,661.44073
cluster_4_2022-03-20,971.41833
cluster_1_2022-03-21,357.798
cluster_2_2022-03-21,524.94727
cluster_3_2022-03-21,705.37103
cluster_4_2022-03-21,1016.2673
cluster_1_2022-03-22,368.38943
cluster_2_2022-03-22,523.7264
cluster_3_2022-03-22,752.6008
cluster_4_2022-03-22,1063.9073
cluster_1_2022-03-23,367.0802
cluster_2_2022-03-23,538.36115
cluster_3_2022-03-23,747.7801
cluster_4_2022-03-23,1042.5507
cluster_1_2022-03-24,363.59198
cluster_2_2022-03-24,528.4066
cluster_3_2022-03-24,724.31726
cluster_4_2022-03-24,1032.3896
cluster_1_2022-03-25,344.77768
cluster_2_2022-03-25,508.17767
cluster_3_2022-03-25,716.6088
cluster_4_2022-03-25,988.2445
cluster_1_2022-03-26,302.98743
cluster_2_2022-03-26,470.312
cluster_3_2022-03-26,641.36237
cluster_4_2022-03-26,894.5872
cluster_1_2022-03-27,288.90845
cluster_2_2022-03-27,429.63345
cluster_3_2022-03-27,617.698
cluster_4_2022-03-27,844.2198
cluster_1_2022-03-28,332.28088
cluster_2_2022-03-28,472.665
cluster_3_2022-03-28,665.70844
cluster_4_2022-03-28,946.54865
cluster_1_2022-03-29,349.6984
cluster_2_2022-03-29,507.33005
cluster_3_2022-03-29,692.37744
cluster_4_2022-03-29,975.8142
cluster_1_2022-03-30,353.26465
cluster_2_2022-03-30,540.7328
cluster_3_2022-03-30,745.69135
cluster_4_2022-03-30,986.459
cluster_1_2022-03-31,409.89975
cluster_2_2022-03-31,575.55365
cluster_3_2022-03-31,725.6497
cluster_4_2022-03-31,1094.232
cluster_1_2022-04-01,406.12155
cluster_2_2022-04-01,601.7923
cluster_3_2022-04-01,795.6855
cluster_4_2022-04-01,1185.5493
cluster_1_2022-04-02,366.47476
cluster_2_2022-04-02,563.83185
cluster_3_2022-04-02,757.61096
cluster_4_2022-04-02,1117.445
cluster_1_2022-04-03,333.57794
cluster_2_2022-04-03,545.04535
cluster_3_2022-04-03,747.3042
cluster_4_2022-04-03,1078.8142
cluster_1_2022-04-04,381.82632
cluster_2_2022-04-04,567.0921
cluster_3_2022-04-04,753.69806
cluster_4_2022-04-04,1111.27
cluster_1_2022-04-05,342.7273
cluster_2_2022-04-05,557.3226
cluster_3_2022-04-05,721.2867
cluster_4_2022-04-05,1055.8059
cluster_1_2022-04-06,367.07565
cluster_2_2022-04-06,546.8439
cluster_3_2022-04-06,718.4442
cluster_4_2022-04-06,959.6336
cluster_1_2022-04-07,382.48776
cluster_2_2022-04-07,487.34976
cluster_3_2022-04-07,722.3551
cluster_4_2022-04-07,963.218
cluster_1_2022-04-08,408.4147
cluster_2_2022-04-08,503.84778
cluster_3_2022-04-08,701.32043
cluster_4_2022-04-08,999.9864
cluster_1_2022-04-09,338.1271
cluster_2_2022-04-09,489.4859
cluster_3_2022-04-09,699.1922
cluster_4_2022-04-09,990.212
cluster_1_2022-04-10,317.46478
cluster_2_2022-04-10,444.85205
cluster_3_2022-04-10,646.84906
cluster_4_2022-04-10,976.62103
cluster_1_2022-04-11,328.75327
cluster_2_2022-04-11,472.4807
cluster_3_2022-04-11,658.25366
cluster_4_2022-04-11,991.476
cluster_1_2022-04-12,332.88806
cluster_2_2022-04-12,471.5855
cluster_3_2022-04-12,670.6756
cluster_4_2022-04-12,899.47107
cluster_1_2022-04-13,332.9722
cluster_2_2022-04-13,496.30362
cluster_3_2022-04-13,627.5199
cluster_4_2022-04-13,885.925
cluster_1_2022-04-14,324.2737
cluster_2_2022-04-14,457.87723
cluster_3_2022-04-14,626.5967
cluster_4_2022-04-14,876.0413
cluster_1_2022-04-15,317.77023
cluster_2_2022-04-15,452.70718
cluster_3_2022-04-15,609.5005
cluster_4_2022-04-15,868.64215
cluster_1_2022-04-16,282.55698
cluster_2_2022-04-16,406.40024
cluster_3_2022-04-16,574.4713
cluster_4_2022-04-16,785.75574
cluster_1_2022-04-17,273.86084
cluster_2_2022-04-17,397.57202
cluster_3_2022-04-17,569.512
cluster_4_2022-04-17,803.10443
cluster_1_2022-04-18,323.09842
cluster_2_2022-04-18,452.38754
cluster_3_2022-04-18,663.1865
cluster_4_2022-04-18,907.654
cluster_1_2022-04-19,326.45126
cluster_2_2022-04-19,462.21088
cluster_3_2022-04-19,660.29645
cluster_4_2022-04-19,897.1955
cluster_1_2022-04-20,315.79242
cluster_2_2022-04-20,463.579
cluster_3_2022-04-20,660.51874
cluster_4_2022-04-20,898.73395
cluster_1_2022-04-21,320.76044
cluster_2_2022-04-21,463.9603
cluster_3_2022-04-21,662.6859
cluster_4_2022-04-21,900.7088
cluster_1_2022-04-22,325.33484
cluster_2_2022-04-22,446.45493
cluster_3_2022-04-22,644.49725
cluster_4_2022-04-22,872.72095
cluster_1_2022-04-23,262.91223
cluster_2_2022-04-23,391.8632
cluster_3_2022-04-23,627.1051
cluster_4_2022-04-23,830.9493
cluster_1_2022-04-24,259.29968
cluster_2_2022-04-24,387.9083
cluster_3_2022-04-24,609.35657
cluster_4_2022-04-24,828.61017
cluster_1_2022-04-25,302.50986
cluster_2_2022-04-25,444.22464
cluster_3_2022-04-25,613.9997
cluster_4_2022-04-25,881.07416
cluster_1_2022-04-26,320.2627
cluster_2_2022-04-26,451.39035
cluster_3_2022-04-26,626.50653
cluster_4_2022-04-26,946.2181
cluster_1_2022-04-27,328.5867
cluster_2_2022-04-27,458.45068
cluster_3_2022-04-27,633.9486
cluster_4_2022-04-27,920.3761
cluster_1_2022-04-28,315.49744
cluster_2_2022-04-28,454.9703
cluster_3_2022-04-28,641.9578
cluster_4_2022-04-28,874.99146
cluster_1_2022-04-29,306.26617
cluster_2_2022-04-29,441.90796
cluster_3_2022-04-29,623.9172
cluster_4_2022-04-29,867.24524
cluster_1_2022-04-30,284.06192
cluster_2_2022-04-30,400.51776
cluster_3_2022-04-30,559.65924
cluster_4_2022-04-30,818.8388
cluster_1_2022-05-01,254.84555
cluster_2_2022-05-01,369.63852
cluster_3_2022-05-01,544.1822
cluster_4_2022-05-01,802.96454
cluster_1_2022-05-02,303.49124
cluster_2_2022-05-02,433.87564
cluster_3_2022-05-02,620.6361
cluster_4_2022-05-02,846.73975
cluster_1_2022-05-03,301.56677
cluster_2_2022-05-03,449.59753
cluster_3_2022-05-03,624.63153
cluster_4_2022-05-03,869.09094
cluster_1_2022-05-04,309.7819
cluster_2_2022-05-04,450.72195
cluster_3_2022-05-04,618.13806
cluster_4_2022-05-04,867.12775
cluster_1_2022-05-05,313.81427
cluster_2_2022-05-05,446.02457
cluster_3_2022-05-05,620.437
cluster_4_2022-05-05,893.70184
cluster_1_2022-05-06,309.131
cluster_2_2022-05-06,434.23697
cluster_3_2022-05-06,605.97253
cluster_4_2022-05-06,850.1644
cluster_1_2022-05-07,258.2224
cluster_2_2022-05-07,379.6785
cluster_3_2022-05-07,573.32367
cluster_4_2022-05-07,762.6744
cluster_1_2022-05-08,239.90674
cluster_2_2022-05-08,354.1078
cluster_3_2022-05-08,521.2026
cluster_4_2022-05-08,728.39966
cluster_1_2022-05-09,281.5786
cluster_2_2022-05-09,413.36526
cluster_3_2022-05-09,585.7265
cluster_4_2022-05-09,824.7227
cluster_1_2022-05-10,296.86734
cluster_2_2022-05-10,428.19577
cluster_3_2022-05-10,604.29663
cluster_4_2022-05-10,849.29663
cluster_1_2022-05-11,298.98282
cluster_2_2022-05-11,426.4464
cluster_3_2022-05-11,603.3503
cluster_4_2022-05-11,857.13654
cluster_1_2022-05-12,300.91864
cluster_2_2022-05-12,428.78113
cluster_3_2022-05-12,607.76166
cluster_4_2022-05-12,849.93085
cluster_1_2022-05-13,299.6121
cluster_2_2022-05-13,421.16705
cluster_3_2022-05-13,596.17896
cluster_4_2022-05-13,847.084
cluster_1_2022-05-14,260.6296
cluster_2_2022-05-14,371.34766
cluster_3_2022-05-14,544.4782
cluster_4_2022-05-14,770.19525
cluster_1_2022-05-15,233.1559
cluster_2_2022-05-15,353.74954
cluster_3_2022-05-15,514.71747
cluster_4_2022-05-15,735.22644
cluster_1_2022-05-16,285.39136
cluster_2_2022-05-16,416.52765
cluster_3_2022-05-16,593.2773
cluster_4_2022-05-16,833.77704
cluster_1_2022-05-17,295.5977
cluster_2_2022-05-17,428.78387
cluster_3_2022-05-17,601.6411
cluster_4_2022-05-17,848.5996
cluster_1_2022-05-18,293.70728
cluster_2_2022-05-18,441.46228
cluster_3_2022-05-18,606.61194
cluster_4_2022-05-18,854.3893
cluster_1_2022-05-19,295.21936
cluster_2_2022-05-19,432.96674
cluster_3_2022-05-19,611.6114
cluster_4_2022-05-19,870.6825
cluster_1_2022-05-20,288.87805
cluster_2_2022-05-20,420.9831
cluster_3_2022-05-20,616.67474
cluster_4_2022-05-20,857.0185
cluster_1_2022-05-21,256.48444
cluster_2_2022-05-21,376.2866
cluster_3_2022-05-21,550.3306
cluster_4_2022-05-21,764.263
cluster_1_2022-05-22,233.63693
cluster_2_2022-05-22,348.54575
cluster_3_2022-05-22,512.89307
cluster_4_2022-05-22,723.8792
cluster_1_2022-05-23,285.9197
cluster_2_2022-05-23,417.5856
cluster_3_2022-05-23,594.0183
cluster_4_2022-05-23,836.1651
cluster_1_2022-05-24,308.7677
cluster_2_2022-05-24,439.01178
cluster_3_2022-05-24,609.7243
cluster_4_2022-05-24,851.89844
cluster_1_2022-05-25,305.91656
cluster_2_2022-05-25,438.00195
cluster_3_2022-05-25,604.933
cluster_4_2022-05-25,850.04065
cluster_1_2022-05-26,296.85077
cluster_2_2022-05-26,429.92337
cluster_3_2022-05-26,606.9787
cluster_4_2022-05-26,850.1711
cluster_1_2022-05-27,292.21378
cluster_2_2022-05-27,422.1125
cluster_3_2022-05-27,592.2307
cluster_4_2022-05-27,838.36865
cluster_1_2022-05-28,267.15277
cluster_2_2022-05-28,370.39807
cluster_3_2022-05-28,555.07184
cluster_4_2022-05-28,777.44257
cluster_1_2022-05-29,250.99438
cluster_2_2022-05-29,355.97455
cluster_3_2022-05-29,519.74365
cluster_4_2022-05-29,764.4283
cluster_1_2022-05-30,301.3781
cluster_2_2022-05-30,419.36258
cluster_3_2022-05-30,593.49927
cluster_4_2022-05-30,854.9536
cluster_1_2022-05-31,300.7555
cluster_2_2022-05-31,426.74225
cluster_3_2022-05-31,600.0611
cluster_4_2022-05-31,852.75037
cluster_1_2022-06-01,289.6603
cluster_2_2022-06-01,435.2663
cluster_3_2022-06-01,604.2037
cluster_4_2022-06-01,868.4881
cluster_1_2022-06-02,294.73282
cluster_2_2022-06-02,436.72696
cluster_3_2022-06-02,610.40845
cluster_4_2022-06-02,859.6288
cluster_1_2022-06-03,289.39798
cluster_2_2022-06-03,431.49506
cluster_3_2022-06-03,609.5958
cluster_4_2022-06-03,846.3998
cluster_1_2022-06-04,246.25212
cluster_2_2022-06-04,378.12268
cluster_3_2022-06-04,559.6226
cluster_4_2022-06-04,783.59125
cluster_1_2022-06-05,224.13109
cluster_2_2022-06-05,353.2517
cluster_3_2022-06-05,528.75995
cluster_4_2022-06-05,735.2798
cluster_1_2022-06-06,279.204
cluster_2_2022-06-06,416.24173
cluster_3_2022-06-06,590.38226
cluster_4_2022-06-06,834.52246
cluster_1_2022-06-07,292.36972
cluster_2_2022-06-07,429.18304
cluster_3_2022-06-07,610.61816
cluster_4_2022-06-07,853.3758
cluster_1_2022-06-08,292.29254
cluster_2_2022-06-08,426.61288
cluster_3_2022-06-08,606.5875
cluster_4_2022-06-08,857.38336
cluster_1_2022-06-09,291.8577
cluster_2_2022-06-09,428.0453
cluster_3_2022-06-09,606.0588
cluster_4_2022-06-09,859.07184
cluster_1_2022-06-10,289.13788
cluster_2_2022-06-10,426.24915
cluster_3_2022-06-10,611.4667
cluster_4_2022-06-10,848.7235
cluster_1_2022-06-11,244.7139
cluster_2_2022-06-11,394.45782
cluster_3_2022-06-11,561.9825
cluster_4_2022-06-11,768.6521
cluster_1_2022-06-12,224.03087
cluster_2_2022-06-12,370.6602
cluster_3_2022-06-12,537.42035
cluster_4_2022-06-12,745.65234
cluster_1_2022-06-13,278.1564
cluster_2_2022-06-13,435.04236
cluster_3_2022-06-13,610.0108
cluster_4_2022-06-13,848.0668
cluster_1_2022-06-14,290.68295
cluster_2_2022-06-14,448.18613
cluster_3_2022-06-14,640.82
cluster_4_2022-06-14,865.47327
cluster_1_2022-06-15,291.54742
cluster_2_2022-06-15,454.2327
cluster_3_2022-06-15,628.9366
cluster_4_2022-06-15,890.4099
cluster_1_2022-06-16,296.4478
cluster_2_2022-06-16,448.4858
cluster_3_2022-06-16,663.5724
cluster_4_2022-06-16,894.83826
cluster_1_2022-06-17,299.6238
cluster_2_2022-06-17,451.33508
cluster_3_2022-06-17,648.80945
cluster_4_2022-06-17,874.475
cluster_1_2022-06-18,263.6966
cluster_2_2022-06-18,406.73926
cluster_3_2022-06-18,598.9056
cluster_4_2022-06-18,815.65967
cluster_1_2022-06-19,224.37805
cluster_2_2022-06-19,363.54565
cluster_3_2022-06-19,567.7784
cluster_4_2022-06-19,761.9975
cluster_1_2022-06-20,277.91275
cluster_2_2022-06-20,417.7892
cluster_3_2022-06-20,615.5411
cluster_4_2022-06-20,865.094
cluster_1_2022-06-21,292.3431
cluster_2_2022-06-21,414.57962
cluster_3_2022-06-21,611.5857
cluster_4_2022-06-21,880.46027
cluster_1_2022-06-22,289.81454
cluster_2_2022-06-22,422.96927
cluster_3_2022-06-22,627.94696
cluster_4_2022-06-22,866.92444
cluster_1_2022-06-23,293.89786
cluster_2_2022-06-23,430.94974
cluster_3_2022-06-23,625.94617
cluster_4_2022-06-23,862.2698
cluster_1_2022-06-24,288.04767
cluster_2_2022-06-24,421.87595
cluster_3_2022-06-24,612.1556
cluster_4_2022-06-24,849.04175
cluster_1_2022-06-25,245.46393
cluster_2_2022-06-25,379.0279
cluster_3_2022-06-25,556.8583
cluster_4_2022-06-25,765.41815
cluster_1_2022-06-26,226.15665
cluster_2_2022-06-26,351.70865
cluster_3_2022-06-26,527.88904
cluster_4_2022-06-26,734.4799
cluster_1_2022-06-27,278.65088
cluster_2_2022-06-27,415.9925
cluster_3_2022-06-27,602.2861
cluster_4_2022-06-27,836.9615
cluster_1_2022-06-28,292.89078
cluster_2_2022-06-28,431.7005
cluster_3_2022-06-28,614.88727
cluster_4_2022-06-28,855.53
cluster_1_2022-06-29,292.7239
cluster_2_2022-06-29,433.6229
cluster_3_2022-06-29,608.7076
cluster_4_2022-06-29,858.7309
cluster_1_2022-06-30,288.89218
cluster_2_2022-06-30,426.79755
cluster_3_2022-06-30,614.4047
cluster_4_2022-06-30,857.1325
cluster_1_2022-07-01,283.78687
cluster_2_2022-07-01,417.56546
cluster_3_2022-07-01,606.3552
cluster_4_2022-07-01,840.3996
cluster_1_2022-07-02,249.84433
cluster_2_2022-07-02,393.72955
cluster_3_2022-07-02,576.94604
cluster_4_2022-07-02,779.18036
cluster_1_2022-07-03,227.40541
cluster_2_2022-07-03,372.41547
cluster_3_2022-07-03,547.67737
cluster_4_2022-07-03,745.32477
cluster_1_2022-07-04,283.23697
cluster_2_2022-07-04,421.61145
cluster_3_2022-07-04,628.48004
cluster_4_2022-07-04,843.819
cluster_1_2022-07-05,291.67267
cluster_2_2022-07-05,440.83118
cluster_3_2022-07-05,635.6088
cluster_4_2022-07-05,865.4812
cluster_1_2022-07-06,292.9005
cluster_2_2022-07-06,435.21957
cluster_3_2022-07-06,641.35236
cluster_4_2022-07-06,862.98334
cluster_1_2022-07-07,292.04028
cluster_2_2022-07-07,437.31943
cluster_3_2022-07-07,635.79315
cluster_4_2022-07-07,853.4853
cluster_1_2022-07-08,289.3814
cluster_2_2022-07-08,439.8118
cluster_3_2022-07-08,626.70294
cluster_4_2022-07-08,850.5009
cluster_1_2022-07-09,248.09328
cluster_2_2022-07-09,400.55408
cluster_3_2022-07-09,579.5092
cluster_4_2022-07-09,774.6991
cluster_1_2022-07-10,228.25092
cluster_2_2022-07-10,368.6434
cluster_3_2022-07-10,549.8027
cluster_4_2022-07-10,735.0188
cluster_1_2022-07-11,278.38242
cluster_2_2022-07-11,445.9633
cluster_3_2022-07-11,623.5722
cluster_4_2022-07-11,848.7374
cluster_1_2022-07-12,313.5151
cluster_2_2022-07-12,464.87732
cluster_3_2022-07-12,645.69965
cluster_4_2022-07-12,870.032
cluster_1_2022-07-13,321.02728
cluster_2_2022-07-13,464.0483
